ID,sector,diversity_2012,diversity_2013,diversity_2014,diversity_2015
2705,feed,0.4587812047986505,0.4823740314567459,0.4318838203449979,0.4730198134335987
2705,meat,0.640852134596297,0.6397029002967084,0.6452557995555669,0.6451526034610954
2706,animal,0.3962248486794345,0.4072105440334913,0.4161558747414606,0.40955953124675504
2706,crop,0.6341257111284646,0.6360006979272429,0.6331187533806346,0.6314799961728237
2706,feed,0.7256858549182552,0.7373228395456458,0.7551595721726452,0.7315154665566654
2706,meat,0.8631155299766154,0.8447988985907989,0.8419733530193426,0.8524052241181977
2707,animal,0.4498471094151248,0.4479388795365162,0.3838042623505008,0.4462033713121996
2707,crop,0.40730329148669536,0.4137894627829141,0.36094394758199216,0.4146389252833402
2707,feed,0.4699076354437989,0.4795516758577413,0.4470608160812809,0.4836917068699133
2707,meat,0.5880002889791333,0.5769499365281258,0.5793817466638829,0.5799397397660858
2799,animal,0.5360719584969749,0.5145864121914245,0.4734233438354887,0.5234778542490619
2799,crop,0.5905409175262969,0.5774970341880381,0.5154587726963048,0.5973130304353241
2799,feed,0.6727084994004132,0.6545057856298718,0.6222375268030884,0.6891373565363641
2799,meat,0.6666838192806833,0.6753831546641236,0.5594912696337231,0.6734191161797052
2801,crop,0.7452933212733622,0.7492888222994232,0.7350093053662659,0.7114330745515591
2801,feed,0.7152115573213974,0.7208576444226816,0.6270194453233505,0.6291029195751419
2801,meat,0.8527887383855689,0.8408236361767822,0.822941160262414,0.8068390840840495
2802,animal,0.4191952392986611,0.4226240357227043,0.3983263300742748,0.3951077751340678
2802,crop,0.6759735435610965,0.6797298720820649,0.6678944884628876,0.6588787868521616
2802,meat,0.7200372871535888,0.7137384065433918,0.7162321759708952,0.7165964148858592
2803,crop,0.6770229654421749,0.684226393423722,0.6648213537782766,0.6615237634310018
2803,feed,0.6322613702488661,0.6423359788489821,0.6336581309386321,0.6306428544120264
2803,meat,0.7467957879770291,0.7433234151125026,0.7433325582944741,0.7455667287068604
2804,animal,0.28707656653127683,0.2940799757175741,0.2632936292830637,0.2595322492138269
2804,crop,0.5818506608138992,0.5919426296135382,0.5667183354084411,0.5629309042771798
2804,feed,0.4951962960510717,0.5028232021548089,0.4945707190561162,0.4922072341749914
2804,meat,0.6831741601286397,0.6716286538067588,0.6776409554186886,0.6789804541561777
2899,animal,0.6442023796296579,0.6499707982690174,0.5891769310115598,0.6242437738450749
2899,crop,0.8084427085529449,0.8090465343583159,0.7743437995570623,0.8126651256366864
2899,feed,0.7336208285330722,0.7366544689763074,0.697207441471746,0.7274353274304113
2899,meat,0.8544892493075862,0.8511083688184912,0.8078136085353982,0.8531815683462791
2902,crop,0.3420594716203909,0.3618633715172373,0.3538083954356067,0.3540769717542847
2902,feed,0.6965920233389169,0.7106557935158309,0.7168516311491657,0.7075936830664097
2902,meat,0.6741861889366708,0.7115686354474017,0.7181253263138861,0.7161125508302877
2904,animal,0.29906919070490645,0.30391427883598193,0.30160020368446416,0.30151658583722657
2904,crop,0.2887240285416482,0.30709947524468345,0.3005581898534597,0.29867591367560864
2904,feed,0.6201471416477374,0.632203921745745,0.635037387972088,0.636108473852083
2904,meat,0.744392961362896,0.7631753361520934,0.7897909713467062,0.7665447721225456
2905,animal,0.42643920258000295,0.43172624867851705,0.42857921126053217,0.4285271331009227
2905,crop,0.4350289280416769,0.44253130908747396,0.44063607987562137,0.4407774075576667
2905,feed,0.7297505733397126,0.7011618386568278,0.7400584024539987,0.747070752866658
2905,meat,0.8501054312506671,0.8449893213126234,0.8696160411941349,0.8622345969431694
2908,animal,0.3078282528407881,0.3121712832439801,0.3089796979586742,0.3088998270530621
2908,crop,0.2519524471202053,0.2672751591783492,0.2580871785747549,0.2572202194226492
2908,feed,0.6277076043407471,0.6431596365470083,0.6303212910686805,0.6492602990192571
2908,meat,0.8669441340778371,0.8751590108390762,0.907130700602914,0.9005107105421605
2999,animal,0.30763996751083034,0.3171800685425009,0.3061577378331368,0.31111540826325296
2999,crop,0.4677860689117072,0.4925561162946986,0.4882496344455662,0.4929444742750574
2999,feed,0.6161386837426317,0.572977099502562,0.6509906861113679,0.630240770955641
2999,meat,0.8016659975073631,0.8133065840298667,0.7885973075949299,0.8143465691703539
3001,crop,0.16724845401752325,0.16760877667368826,0.13894973746725553,0.13989735194960096
3001,feed,0.6889790009872779,0.6634323788211317,0.6588595705603805,0.660537300104756
3001,meat,0.6298275102901554,0.6414757778460866,0.6392449874069371,0.6408775074445924
3002,animal,0.21441675871274848,0.21519712590188111,0.21057163844832533,0.2102814182695361
3002,crop,0.16751700035036787,0.1680271205383591,0.1668683660727988,0.16770409781383636
3002,feed,0.7081536092011168,0.6704141355109605,0.6789868924916129,0.6820700497133004
3002,meat,0.5704382922071273,0.5837738891613464,0.5839341081943231,0.5851938216715167
3003,crop,0.11508184125180487,0.11559653414537918,0.08996972992769173,0.09039567926108807
3003,meat,0.6487971235320402,0.6646871422944329,0.5794373046722447,0.6657835101876379
3099,animal,0.2948445543236988,0.29509653858402896,0.2797617431080049,0.2798177986513446
3099,crop,0.3302303350506965,0.33067155171269685,0.3023989560933906,0.30329754876315035
3099,feed,0.6860999240149815,0.6426969681125156,0.6624656363546808,0.6660749501991328
3099,meat,0.7299538950597805,0.7394409813977456,0.7400014297995254,0.7398782460819048
3101,crop,0.27660830039573603,0.16752609788849926,0.2461941708527381,0.249561842616177
3101,feed,0.4007781745347233,0.33204292738011576,0.3990021566163057,0.4052992916001516
3101,meat,0.6223925617608629,0.5961590312633565,0.6935843295259161,0.6689595424963736
3102,animal,0.4412778389519838,0.4206017688082152,0.4037707429106165,0.41024774592062
3102,crop,0.3087368838336391,0.31063021102586463,0.25614643608937143,0.2651163396016278
3102,feed,0.4095228156389577,0.4111386719706681,0.3706746740296085,0.3897689647139112
3102,meat,0.7180500221327055,0.6844273885344699,0.6193635535672505,0.6424591494067237
3199,animal,0.6972756211610811,0.6616097740493474,0.6931956245286867,0.6976022943308764
3199,crop,0.5669784480285026,0.5835890219557247,0.5340674822927587,0.537180508592364
3199,feed,0.6868059502012036,0.6896433038971099,0.6768338122277584,0.6873508398408895
3199,meat,0.7919366252174782,0.7922867120461323,0.836889719111885,0.7817672426758017
3202,animal,0.05297857168597582,0.053120769894934916,0.05351035445872478,0.05357497133538144
3202,crop,0.443232957184512,0.4281222893399605,0.4167019435177944,0.4189723790003948
3202,feed,0.5241626353312228,0.5158281871022697,0.5216286883786252,0.52461625682488
3202,meat,0.6710836015375365,0.6563577858425388,0.7014838622324905,0.6914141764821503
3299,animal,0.12616745094628218,0.12609225068039231,0.1263302323739282,0.12727417129177904
3299,crop,0.432699758597837,0.4236550426836728,0.4398806972818681,0.4337265893307311
3299,feed,0.3790981355128621,0.3746757746188653,0.3692232961087013,0.3782241682487077
3299,meat,0.7511527252834131,0.7411689641081511,0.7508366577526344,0.7653447875426892
3399,animal,0.0019068995677070546,0.001800673110742081,0.001660106443625434,0.0015346451657152888
3399,crop,0.19490772574772194,0.1765630058807599,0.12507888040657206,0.08874145635741246
3399,feed,0.4121316191565172,0.40832509143067175,0.40672700642274623,0.4090803475622951
3399,meat,0.11844931294447116,0.12416461879511435,0.1762038802955732,0.1279422161426351
3501,animal,0.41463496900845503,0.4168524232491321,0.4170530296796775,0.4200419481218604
3501,crop,0.5515844572468594,0.5367696212041846,0.5463824259592243,0.5455530607091809
3501,feed,0.7038903482055084,0.6838755343949312,0.6952491011436761,0.7017235509313583
3501,meat,0.7538167252298668,0.7491470993380381,0.7746558459776349,0.7618074611179421
3502,animal,0.4871644837513636,0.4886797149493232,0.4888913833098862,0.4912309680287679
3502,crop,0.5030017555177487,0.5022117961921037,0.5024013869137655,0.4991309525992385
3502,feed,0.7548644167762889,0.7351760141390253,0.7443700699357303,0.7507505139796463
3502,meat,0.7597161891792579,0.7480091596561688,0.7737342635249549,0.7631409043451709
3503,animal,0.4062858136638517,0.4039098984962797,0.4037364002791639,0.41213114854383626
3503,crop,0.4369098949529752,0.4314752057442631,0.4079093903772505,0.4142159013646666
3503,feed,0.5239639586273346,0.4920732860610861,0.4991270828100896,0.5232426876066573
3503,meat,0.7314869154643241,0.7398989261908625,0.7550194634556259,0.7447567691454209
3504,crop,0.5448044699761136,0.5363204264829665,0.5481606447971401,0.546543784717503
3504,meat,0.7594512371510908,0.747001162067563,0.7680227507494403,0.7654645238552161
3599,animal,0.5058558840455637,0.507670661637459,0.5076905474438826,0.5103654047754996
3599,crop,0.4360426036245265,0.4236779683263743,0.43018288215493705,0.42838256132123065
3599,feed,0.5516425626732886,0.5236134419596559,0.5406192572584331,0.54615232231347
3599,meat,0.7658067824534991,0.7606927020765445,0.7798841769198227,0.7685465662946179
3601,animal,0.2455296607018623,0.2422731169077359,0.23678037521651435,0.2351465325603446
3601,crop,0.5872572963454784,0.5942049733201511,0.5833202643031355,0.5835519150071179
3601,feed,0.8313150442087277,0.8325126364787504,0.8199485583893109,0.8317359687403945
3601,meat,0.7564904303624662,0.7383374291932158,0.8187939290114109,0.8194745802726413
3602,animal,0.4225487930100607,0.4215451087813215,0.4207086483333601,0.420748601220469
3602,crop,0.4198002867555116,0.4192370116106952,0.4180694361640289,0.4176691711005275
3602,feed,0.5706821586396029,0.5664295431520521,0.5705817447956683,0.567371623152933
3602,meat,0.6939387788635036,0.6887537499249943,0.6986445183561409,0.6931712451895375
3603,animal,0.5615181359669473,0.5595669879654644,0.5573973959692963,0.5591750466055573
